start,end,reason,detector,n_points,scope,formulation
2024-04-03 09:00:00,2024-04-17 14:40:00,SHUTDOWN,causal_mode_v1,2051,fit_and_advice,исключены данные с 2024-04-03 09:00:00 по 2024-04-17 14:40:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 14:50:00,2024-04-17 14:50:00,TRANSIENT,causal_mode_v1,1,fit_and_advice,исключены данные с 2024-04-17 14:50:00 по 2024-04-17 14:50:00 по причине: переходный режим после пуска
2024-04-17 15:00:00,2024-04-17 15:00:00,SHUTDOWN,causal_mode_v1,1,fit_and_advice,исключены данные с 2024-04-17 15:00:00 по 2024-04-17 15:00:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 15:10:00,2024-04-17 15:30:00,TRANSIENT,causal_mode_v1,3,fit_and_advice,исключены данные с 2024-04-17 15:10:00 по 2024-04-17 15:30:00 по причине: переходный режим после пуска
2024-04-17 15:40:00,2024-04-17 16:20:00,SHUTDOWN,causal_mode_v1,5,fit_and_advice,исключены данные с 2024-04-17 15:40:00 по 2024-04-17 16:20:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 16:30:00,2024-04-17 17:00:00,TRANSIENT,causal_mode_v1,4,fit_and_advice,исключены данные с 2024-04-17 16:30:00 по 2024-04-17 17:00:00 по причине: переходный режим после пуска
2024-04-17 17:10:00,2024-04-17 19:30:00,SHUTDOWN,causal_mode_v1,15,fit_and_advice,исключены данные с 2024-04-17 17:10:00 по 2024-04-17 19:30:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 19:40:00,2024-04-17 19:50:00,TRANSIENT,causal_mode_v1,2,fit_and_advice,исключены данные с 2024-04-17 19:40:00 по 2024-04-17 19:50:00 по причине: переходный режим после пуска
2024-04-17 20:00:00,2024-04-17 22:00:00,SHUTDOWN,causal_mode_v1,13,fit_and_advice,исключены данные с 2024-04-17 20:00:00 по 2024-04-17 22:00:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 22:10:00,2024-04-17 22:10:00,TRANSIENT,causal_mode_v1,1,fit_and_advice,исключены данные с 2024-04-17 22:10:00 по 2024-04-17 22:10:00 по причине: переходный режим после пуска
2024-04-17 22:20:00,2024-04-17 23:30:00,SHUTDOWN,causal_mode_v1,8,fit_and_advice,исключены данные с 2024-04-17 22:20:00 по 2024-04-17 23:30:00 по причине: установка остановлена (режим вне рабочего)
2024-04-17 23:40:00,2024-04-20 17:30:00,TRANSIENT,causal_mode_v1,396,fit_and_advice,исключены данные с 2024-04-17 23:40:00 по 2024-04-20 17:30:00 по причине: переходный режим после пуска
2024-04-20 17:40:00,2024-04-20 17:40:00,SHUTDOWN,causal_mode_v1,1,fit_and_advice,исключены данные с 2024-04-20 17:40:00 по 2024-04-20 17:40:00 по причине: установка остановлена (режим вне рабочего)
2024-04-20 17:50:00,2024-04-21 01:00:00,TRANSIENT,causal_mode_v1,44,fit_and_advice,исключены данные с 2024-04-20 17:50:00 по 2024-04-21 01:00:00 по причине: переходный режим после пуска
2024-04-21 01:10:00,2024-04-22 09:10:00,SENSOR_FAULT:ht:P3,causal_mode_v1,193,fit_and_advice,исключены данные с 2024-04-21 01:10:00 по 2024-04-22 09:10:00 по причине: отказ датчика давления ht:P3
2024-04-22 09:20:00,2024-04-22 09:40:00,TRANSIENT,causal_mode_v1,3,fit_and_advice,исключены данные с 2024-04-22 09:20:00 по 2024-04-22 09:40:00 по причине: переходный режим после пуска
2024-04-22 09:50:00,2024-04-22 15:10:00,SENSOR_FAULT:ht:P3,causal_mode_v1,33,fit_and_advice,исключены данные с 2024-04-22 09:50:00 по 2024-04-22 15:10:00 по причине: отказ датчика давления ht:P3
2024-04-22 15:20:00,2024-04-23 02:40:00,TRANSIENT,causal_mode_v1,69,fit_and_advice,исключены данные с 2024-04-22 15:20:00 по 2024-04-23 02:40:00 по причине: переходный режим после пуска
